City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Inhambane,MZ,2022-07-19 03:05:45,-23.865,35.3833,67.98,89,12,3.76
181,Lompoc,US,2022-07-19 03:05:46,34.6391,-120.4579,80.74,76,0,5.75
182,Fortuna,US,2022-07-19 03:05:46,40.5982,-124.1573,62.91,77,5,1.99
183,Caravelas,BR,2022-07-19 03:05:47,-17.7125,-39.2481,70.14,88,30,5.46
184,Batagay-Alyta,RU,2022-07-19 03:05:47,67.8006,130.4114,42.26,93,100,6.22
185,Kamaishi,JP,2022-07-19 03:05:48,39.2667,141.8833,77.65,76,100,2.44
186,Bubaque,GW,2022-07-19 03:05:48,11.2833,-15.8333,79.03,85,100,12.06
187,Cabo San Lucas,MX,2022-07-19 03:04:11,22.8909,-109.9124,87.1,70,0,3.0
188,Mikuni,JP,2022-07-19 03:05:50,36.2171,136.1519,77.4,88,100,18.59
189,Baraki Barak,AF,2022-07-19 03:05:50,33.9675,68.9486,78.89,42,0,3.53
190,Longyearbyen,SJ,2022-07-19 03:05:51,78.2186,15.6401,53.44,66,75,16.11
191,Yerbogachen,RU,2022-07-19 03:03:10,61.2767,108.0108,74.05,46,72,9.24
192,Barao De Melgaco,BR,2022-07-19 03:05:52,-16.1944,-55.9675,69.46,55,19,3.11
193,Moth,IN,2022-07-19 03:05:52,25.7167,78.95,94.5,49,44,5.91
194,Nemuro,JP,2022-07-19 03:05:53,43.3236,145.575,61.68,97,100,6.35
195,Kodiak,US,2022-07-19 03:05:53,57.79,-152.4072,56.71,77,0,6.91
196,Progreso,MX,2022-07-19 03:05:54,21.2833,-89.6667,81.1,81,2,13.18
197,Daru,PG,2022-07-19 03:05:55,-9.0763,143.2092,78.35,89,70,15.99
198,Tezu,IN,2022-07-19 03:05:55,27.9167,96.1667,75.7,99,100,1.95
199,Meulaboh,ID,2022-07-19 03:05:56,4.1363,96.1285,81.97,69,85,2.24
200,Qaanaaq,GL,2022-07-19 03:05:56,77.484,-69.3632,42.42,69,16,2.21
201,Pochutla,MX,2022-07-19 03:05:56,15.7432,-96.4661,82.22,84,1,3.51
202,Muromtsevo,RU,2022-07-19 03:05:57,56.3724,75.2418,61.05,77,87,6.26
203,Havelock,US,2022-07-19 03:04:00,34.8791,-76.9013,82.35,88,20,13.8
204,Vardo,NO,2022-07-19 03:05:58,70.3705,31.1107,57.18,82,91,8.05
205,Celestun,MX,2022-07-19 03:05:58,20.8667,-90.4,82.26,78,8,13.4
206,Camopi,GF,2022-07-19 03:05:59,3.1655,-52.3158,71.71,99,65,2.26
207,Kysyl-Syr,RU,2022-07-19 03:06:00,63.8986,122.7617,68.5,93,100,5.44
208,Ribeira Grande,PT,2022-07-19 03:06:00,38.5167,-28.7,71.94,91,20,0.63
209,Zhoucheng,CN,2022-07-19 03:06:01,35.9122,116.3117,83.12,69,100,3.74
210,Russell,US,2022-07-19 03:06:02,32.3502,-85.1999,76.23,94,0,5.75
211,Esso,RU,2022-07-19 03:06:02,55.9333,158.7,82.35,34,97,2.15
212,Hami,CN,2022-07-19 03:06:03,42.8,93.45,88.05,20,100,2.73
213,Nizwa,OM,2022-07-19 03:06:03,22.9333,57.5333,85.06,61,31,2.26
214,Staryy Nadym,RU,2022-07-19 03:06:04,65.6118,72.6842,65.93,44,35,14.65
215,Paracuru,BR,2022-07-19 03:07:06,-3.41,-39.0306,76.1,82,12,11.05
216,Sohbatpur,PK,2022-07-19 03:07:06,28.5202,68.5434,94.48,51,9,2.98
217,Barreirinha,BR,2022-07-19 03:07:07,-2.7933,-57.07,76.98,73,99,3.33
218,Savannah Bight,HN,2022-07-19 03:07:07,16.45,-85.85,82.67,80,100,21.88
219,Kaltasy,RU,2022-07-19 03:07:08,55.9693,54.8032,65.68,81,100,7.36
220,Labytnangi,RU,2022-07-19 03:07:08,66.6572,66.4183,67.75,54,94,5.7
221,Roma,US,2022-07-19 03:07:09,43.2128,-75.4557,71.08,95,100,13.8
222,New Norfolk,AU,2022-07-19 03:07:09,-42.7826,147.0587,48.92,59,26,1.07
223,Airai,TL,2022-07-19 03:07:10,-8.9266,125.4092,69.76,39,61,3.06
224,Arrifes,PT,2022-07-19 03:07:10,37.7667,-25.7,73.24,83,75,6.91
225,Pangnirtung,CA,2022-07-19 03:07:11,66.1451,-65.7125,46.38,80,100,2.39
226,Omsukchan,RU,2022-07-19 03:07:12,62.5333,155.8,78.94,51,83,10.94
227,Sussex,US,2022-07-19 03:02:27,41.1834,-74.6663,71.73,82,40,4.61
228,Salalah,OM,2022-07-19 03:02:58,17.0151,54.0924,75.29,100,100,3.44
229,San Cristobal,VE,2022-07-19 03:07:13,7.7669,-72.225,68.18,84,99,2.33
230,Svetlogorsk,BY,2022-07-19 03:07:13,52.6333,29.7333,56.01,94,100,6.17
231,East London,ZA,2022-07-19 03:07:13,-33.0153,27.9116,67.86,37,3,11.07
232,Lakes Entrance,AU,2022-07-19 03:07:14,-37.8811,147.981,52.16,66,93,2.95
233,Kailua,US,2022-07-19 03:07:14,21.4022,-157.7394,80.58,76,61,8.01
234,Wilmington,US,2022-07-19 03:06:52,34.2257,-77.9447,82.0,83,0,9.22
235,Barkot,IN,2022-07-19 03:07:16,30.8167,78.2,76.41,85,98,0.92
236,Doha,QA,2022-07-19 03:06:25,25.2867,51.5333,94.98,52,64,6.91
237,Tabory,RU,2022-07-19 03:07:17,58.5198,64.5495,66.56,80,100,1.83
238,Necochea,AR,2022-07-19 03:07:17,-38.5473,-58.7368,40.6,79,100,6.87
239,Yokadouma,CM,2022-07-19 03:07:18,3.5167,15.05,68.0,100,100,1.9
240,Souillac,MU,2022-07-19 03:07:18,-20.5167,57.5167,68.38,77,75,11.5
241,Mareeba,AU,2022-07-19 03:07:18,-17.0,145.4333,75.49,63,0,3.96
242,Liverpool,GB,2022-07-19 03:07:19,53.4106,-2.9779,76.28,59,20,9.22
243,Dryden,CA,2022-07-19 03:07:19,49.7833,-92.7503,70.38,66,33,3.56
244,Aklavik,CA,2022-07-19 03:07:20,68.2191,-135.0107,57.72,94,100,1.34
245,Arkhangelsk,RU,2022-07-19 03:03:53,64.5401,40.5433,59.11,87,40,6.71
246,Tateyama,JP,2022-07-19 03:07:21,34.9833,139.8667,82.33,94,75,17.27
247,Ahipara,NZ,2022-07-19 03:07:21,-35.1667,173.1667,63.05,81,89,8.55
248,Fairbanks,US,2022-07-19 03:05:00,64.8378,-147.7164,64.02,65,75,6.91
249,Ponta Do Sol,PT,2022-07-19 03:07:22,32.6667,-17.1,70.43,80,0,6.6
250,Jalpan,MX,2022-07-19 03:07:23,21.2333,-99.4833,74.89,75,99,0.67
251,Fort Saint James,CA,2022-07-19 03:07:23,54.4333,-124.25,65.19,58,100,11.95
252,Klaksvik,FO,2022-07-19 03:07:24,62.2266,-6.589,52.72,92,93,16.2
253,Katsuura,JP,2022-07-19 03:07:24,35.1333,140.3,82.42,86,100,20.54
254,Ilulissat,GL,2022-07-19 03:07:25,69.2167,-51.1,46.42,71,100,0.0
255,Caraballeda,VE,2022-07-19 03:07:25,10.6112,-66.8522,77.07,88,40,1.14
256,Podor,MR,2022-07-19 03:07:26,16.6527,-14.9587,86.23,57,19,12.01
257,Khovu-Aksy,RU,2022-07-19 03:08:26,51.1333,93.6,59.52,49,97,4.09
258,Banda Aceh,ID,2022-07-19 03:08:27,5.5577,95.3222,84.29,66,94,11.03
259,Moron,AR,2022-07-19 03:08:27,-34.6534,-58.6198,51.55,60,78,3.89
260,Makakilo City,US,2022-07-19 03:08:28,21.3469,-158.0858,79.12,68,100,20.71
261,Dwarka,IN,2022-07-19 03:08:28,22.2394,68.9678,82.04,83,80,13.02
262,Riachao,BR,2022-07-19 03:08:29,-7.3619,-46.6172,71.98,49,5,4.43
263,Porto Novo,BJ,2022-07-19 03:08:29,6.4965,2.6036,73.71,83,93,5.7
264,Merauke,ID,2022-07-19 03:08:30,-8.4667,140.3333,79.41,81,70,15.41
265,Sinnamary,GF,2022-07-19 03:08:30,5.3833,-52.95,78.62,86,100,8.19
266,Gigmoto,PH,2022-07-19 03:08:31,13.7796,124.39,86.14,68,74,7.52
267,Saint-Pierre,RE,2022-07-19 03:08:31,-21.3393,55.4781,68.92,67,0,12.66
268,Hanzhong,CN,2022-07-19 03:08:32,33.0728,107.0303,66.24,96,100,1.12
269,Biltine,TD,2022-07-19 03:08:32,14.5333,20.9167,81.05,64,30,7.7
270,Portland,US,2022-07-19 03:05:12,45.5234,-122.6762,77.58,54,0,11.5
271,Torbay,CA,2022-07-19 03:08:33,47.6666,-52.7314,64.76,87,100,19.57
272,Cilegon,ID,2022-07-19 03:08:34,-6.0174,106.0538,84.34,66,10,3.33
273,Humaita,BR,2022-07-19 03:08:34,-7.5061,-63.0208,76.23,57,3,1.79
274,Cherskiy,RU,2022-07-19 03:08:35,68.75,161.3,53.33,51,68,23.13
275,Kinkala,CG,2022-07-19 03:08:35,-4.3614,14.7644,65.05,93,24,3.91
