City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Vieques,PR,18.425,-65.8329,80.1,83,40,4.61,scattered clouds
272,Cuenca,EC,-2.8833,-78.9833,55.53,88,75,4.61,broken clouds
273,Chuy,UY,-33.6971,-53.4616,58.8,98,100,5.61,overcast clouds
274,Sansepolcro,IT,43.5747,12.143,70.9,66,0,3.38,clear sky
275,Krasnoselkup,RU,65.7,82.4667,55.29,73,92,17.58,overcast clouds
276,Kemin,KG,42.7846,75.6892,77.22,34,35,3.2,scattered clouds
277,Pochutla,MX,15.7432,-96.4661,80.82,92,55,2.08,broken clouds
278,Iquique,CL,-20.2208,-70.1431,59.04,79,59,2.55,broken clouds
279,Saint-Pierre,RE,-21.3393,55.4781,67.91,70,100,8.05,overcast clouds
280,Muleba,TZ,-1.8397,31.6544,70.54,62,93,5.95,overcast clouds
281,Puerto Cabezas,NI,14.0351,-83.3888,77.79,86,4,7.25,clear sky
282,Severnyy,RU,50.677,36.5532,68.04,77,0,4.47,clear sky
283,Zhigalovo,RU,54.8097,105.1578,55.81,98,100,4.92,light rain
284,Marfino,RU,55.7028,37.3822,68.34,77,0,4.47,clear sky
285,Jonesboro,US,35.8423,-90.7043,89.37,62,0,11.5,clear sky
286,Souillac,MU,-20.5167,57.5167,66.58,94,40,4.61,light rain
287,Kedrovyy,RU,56.1667,91.8167,57.87,58,74,2.46,broken clouds
288,Kruisfontein,ZA,-34.0033,24.7314,54.88,90,1,4.52,clear sky
289,Henties Bay,NA,-22.116,14.2845,53.47,82,2,4.18,clear sky
290,Kazerun,IR,29.6195,51.6541,79.54,81,94,1.88,overcast clouds
291,Paita,PE,-5.0892,-81.1144,63.9,85,11,16.46,few clouds
292,Alamogordo,US,32.8995,-105.9603,87.15,32,0,5.75,clear sky
293,Aleksandrovskiy Zavod,RU,50.9237,117.9374,69.31,68,56,4.16,broken clouds
294,Port Hedland,AU,-20.3167,118.5667,75.25,31,0,11.5,clear sky
295,Steinbach,DE,50.1667,8.5667,62.11,51,0,9.22,clear sky
296,Torrejon De Ardoz,ES,40.4553,-3.4697,83.3,37,0,5.75,clear sky
297,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,75,12.66,broken clouds
298,Shelburne,CA,44.0787,-80.2041,68.79,73,39,6.93,scattered clouds
299,Tagusao,PH,9.1924,117.8141,85.05,72,100,4.97,overcast clouds
300,Mount Gambier,AU,-37.8333,140.7667,54.01,59,100,7.2,overcast clouds
301,Bayir,TR,37.2687,28.2167,63.12,38,0,2.51,clear sky
302,Jaciara,BR,-15.9653,-54.9683,71.55,36,0,2.84,clear sky
303,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,93,66,3.31,broken clouds
304,Ngaoundere,CM,7.3167,13.5833,62.83,97,100,0.6,overcast clouds
305,Clyde River,CA,70.4692,-68.5914,37.63,100,100,6.91,light rain
306,Capreol,CA,46.706,-80.9225,64.87,88,75,6.91,broken clouds
307,Talnakh,RU,69.4865,88.3972,54.21,62,89,11.16,overcast clouds
308,Portoferraio,IT,42.8115,10.3146,80.96,73,0,15.17,clear sky
